root_domain,nonprofit_score,signals
delawarepublic.org,2,['donate']
delhicwd.org,1,['mission']
deweyanimals.org,2,['donate']
digitalworksjobs.org,3,"['foundation', 'mission']"
digtech.org,1,['mission']
diva-portal.org,2,['foundation']
divinitybc.org,3,"['donate', 'mission']"
dogtraineracademy.org,1,['mission']
dollyslegacyanimalrescue.org,3,"['donate', 'mission']"
donorbox.org,7,"['501(c)(3)', 'donate']"
dravetfoundation.org,5,"['donate', 'foundation', 'mission']"
dukehealth.org,1,['mission']
dunoonhillrunners.org.uk,1,['mission']
dwih-newdelhi.org,3,"['foundation', 'mission']"
e-n.org.uk,2,['charity']
earthconservationcorps.org,2,['donate']
eastbournechurches.org,1,['mission']
ebonyambassadors.org,3,"['donate', 'mission']"
eclipse.org,4,"['donate', 'foundation']"
ecri.org,1,['mission']
edf.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
ediillinois.org,1,['mission']
edublogs.org,2,['donate']
edweek.org,4,"['nonprofit', 'mission']"
efdni.org,3,"['charity', 'mission']"
eff.org,6,"['charity', 'donate', 'foundation']"
effectivealtruism.org,2,['foundation']
effie.org,3,"['foundation', 'mission']"
ehop.org,4,"['donate', 'foundation']"
elevationweb.org,8,"['nonprofit', 'donate', 'foundation', 'mission']"
englishpost.org,1,['mission']
eol.org,2,['donate']
epicislands.org,4,"['donate', 'foundation']"
epo.org,3,"['foundation', 'mission']"
equalitybywords.org,1,['mission']
equinephotographers.org,1,['mission']
equip.org,2,['donate']
ercptjournal.org,2,['foundation']
erowid.org,1,['mission']
estatenetwork.org,3,['nonprofit']
etzhayimhhb.org,2,['donate']
eu.org,1,['mission']
europeanwomeninmaths.org,1,['mission']
europeum.org,3,"['foundation', 'mission']"
evolutionaryeducation.org,2,['foundation']
ewg.org,13,"['501(c)(3)', 'nonprofit', 'donate', 'foundation', 'mission']"
eyemantra.org,5,"['donate', 'foundation', 'mission']"
famillesrurales.org,1,['mission']
familychurchbryant.org,1,['mission']
familydoctor.org,1,['mission']
familytofamily.org,1,['mission']
fantastic-arts.org,1,['mission']
farmland.org,2,['donate']
fatherlandgroup.org,2,['donate']
festivalnapavalley.org,6,"['nonprofit', 'donate', 'mission']"
filsonhistorical.org,3,"['donate', 'mission']"
fipsd.org,1,['mission']
firstthingsfirst.org,1,['mission']
fljc.org,7,"['nonprofit', 'donate', 'foundation']"
flowjournal.org,1,['mission']
flvc.org,1,['mission']
fondationmarieclarac.org,3,"['donate', 'mission']"
food4sustainability.org,1,['mission']
foodschmooze.org,3,"['donate', 'mission']"
fortefoundation.org,4,"['donate', 'foundation']"
forthewiin.org,1,['mission']
forumactif.org,1,['mission']
forumgratuit.org,1,['mission']
forzearmate.org,1,['mission']
fosterclosetofmichigan.org,5,"['nonprofit', 'donate']"
freebdsmxxx.org,5,"['charity', 'donate', 'mission']"
freehistoryproject.org,2,['donate']
frontiersin.org,3,"['foundation', 'mission']"
futureengineers.org,1,['mission']
gafcon.org,7,"['charity', 'donate', 'foundation', 'mission']"
gaj.org.uk,1,['mission']
gardenspotcommunities.org,1,['mission']
gbible.org,3,"['donate', 'mission']"
geoinstitute.org,1,['mission']
georgiactsa.org,3,"['donate', 'mission']"
getcomics.org,3,"['donate', 'mission']"
gi.org,2,['donate']
giornaliste.org,2,['foundation']
give.org.kw,2,['charity']
glaucoma.org,10,"['nonprofit', 'charity', 'donate', 'foundation', 'mission']"
glenmeadow.org,1,['mission']
globalreportingprogram.org,2,['donate']
gotmag.org,1,['mission']
greatfallsdiscoverycenter.org,2,['donate']
grisda.org,1,['mission']
grist.org,6,"['nonprofit', 'donate', 'mission']"
gtg.org.tw,2,['donate']
gunowners.org,3,"['donate', 'mission']"
gyanjyotifoundation.org.in,2,['foundation']
h5p.org,1,['mission']
halopedia.org,2,['charity']
hampsteadshul.org.uk,2,['donate']
handsofthecarpenter.org,9,"['501(c)(3)', 'donate', 'foundation']"
harbus.org,1,['mission']
harmerstown.org,2,['foundation']
healthychristchurch.org.nz,3,"['charity', 'mission']"
hernandoeducationfoundation.org,5,"['donate', 'foundation', 'mission']"
hiff.org,2,['donate']
historycouncilnsw.org.au,3,"['charity', 'mission']"
hkicpa.org.hk,3,"['foundation', 'mission']"
hlc.org.uk,1,['mission']
hopto.org,1,['mission']
horror.org,1,['mission']
hospitalitynet.org,4,"['charity', 'donate']"
hpcalc.org,1,['mission']
hpfanfiction.org,1,['mission']
hpvcancerfreega.org,1,['mission']
hrpub.org,1,['mission']
hshv.org,2,['donate']
humanrightsuk.org,1,['mission']
hungeractionnys.org,2,['donate']
hunnarshala.org,3,"['foundation', 'mission']"
hydecollection.org,3,"['donate', 'mission']"
hydroreform.org,1,['mission']
hypotheses.org,1,['mission']
iaea.org,1,['mission']
iafor.org,3,"['foundation', 'mission']"
iajw.org,1,['mission']
iaslc.org,4,"['donate', 'foundation']"
ibma.org,5,"['donate', 'foundation', 'mission']"
icann.org,4,"['charity', 'foundation']"
icar-ciwa.org.in,1,['mission']
icchp-aaate.org,1,['mission']
ictj.org,5,"['donate', 'foundation', 'mission']"
iemed.org,1,['mission']
iexaminer.org,3,['nonprofit']
iflos.org,3,"['foundation', 'mission']"
igoministries.org,3,"['donate', 'mission']"
iisd.org,2,['foundation']
ijitee.org,1,['mission']
ilsa.org,7,"['501(c)(3)', 'donate']"
immanuelschoollambeth.org,3,"['foundation', 'mission']"
in-mind.org,4,"['donate', 'foundation']"
indiaenvironmentportal.org.in,1,['mission']
infidels.org,1,['mission']
internetsociety.org,8,"['nonprofit', 'donate', 'foundation', 'mission']"
intonationmusic.org,3,['nonprofit']
investlouisiana.org,5,"['donate', 'foundation', 'mission']"
ipcf.org.tw,2,['foundation']
ipsacademy.org,1,['mission']
irena.org,1,['mission']
isc2.org,1,['mission']
isls.org,1,['mission']
ithistory.org,3,"['donate', 'mission']"
iwgsingapore.org,2,['charity']
jaclalaska.org,2,['donate']
jamestown.org,4,"['donate', 'foundation']"
jarodcharity.org.sa,2,['charity']
jcdronline.org,1,['mission']
jd.org.tr,1,['mission']
jolietymca.org,3,"['donate', 'mission']"
jooble.org,1,['mission']
jorba.org,8,"['501(c)(3)', 'donate', 'mission']"
jugendkirchen.org,2,['charity']
jurnalsukma.org,1,['mission']
justiciajuvenil.org.bo,2,['foundation']
kansasaap.org,1,['mission']
kawc.org,2,['donate']
kbicenter.org,7,"['501(c)(3)', 'donate']"
kde.org,1,['mission']
kfionline.org,2,['foundation']
khyentsefoundation.org,2,['foundation']
kmuw.org,2,['donate']
krwg.org,3,"['donate', 'mission']"
ksmu.org,3,"['donate', 'mission']"
kunc.org,2,['donate']
laetusinpraesens.org,2,['foundation']
lakeland-orienteering.org.uk,1,['mission']
landmarks.org,4,"['donate', 'foundation']"
laphamsquarterly.org,4,"['donate', 'foundation']"
lareviewofbooks.org,5,"['nonprofit', 'donate']"
lavistachurchofchrist.org,1,['mission']
learntomeditate.org,4,"['charity', 'foundation']"
leelabsg.org,2,['foundation']
legalaidsc.org,2,['donate']
lelladbenessere.org,1,['mission']
lessplastic.org.uk,2,['donate']
libreoffice.org,3,"['foundation', 'mission']"
libretexts.org,3,"['foundation', 'mission']"
librivox.org,1,['mission']
lions103est.org,1,['mission']
litpress.org,1,['mission']
littleportionhermitage.org,5,"['charity', 'donate', 'mission']"
lmfdb.org,2,['foundation']
lockman.org,3,"['foundation', 'mission']"
look-up.org.uk,1,['mission']
loulysenegal.org,2,['donate']
loveburundi.org,4,"['charity', 'donate']"
lucking.org,2,['charity']
lyceeanisse.org,1,['mission']
maddogtu.org,3,"['donate', 'mission']"
mag-uk.org,1,['mission']
mahj.org,3,"['donate', 'mission']"
mansfieldct-history.org,2,['donate']
mapinc.org,1,['mission']
marketplace.org,5,"['donate', 'foundation', 'mission']"
marriagewell.org,2,['donate']
martinlutherchurch1902.org,1,['mission']
marylandsymphony.org,2,['donate']
masskids.org,3,"['donate', 'mission']"
meassociation.org.uk,5,"['charity', 'donate', 'mission']"
